,english,arabic
3762,"(b) processed in a processing plant approved in accordance with Article 13 using any of processing methods 1 to 5 or, where the competent authority so requires, processing method 1, in which case the resulting material shall be permanently marked, where technically possible with smell, in accordance with Annex VI, Chapter I, and:",2. يتم تجميع المواد التي تندرج ضمن الفئة 2 ونقلها والتعرف عليها دون تأجيل غير مقبول وفقًا للمادة 7 ما لم يُنص على خلاف ذلك في المادتين 23 و24، كما يتم:
3763,"(c) processed in a processing plant approved in accordance with Article 13 using processing method 1, in which case the resulting material shall be permanently marked, where technically possible with smell, in accordance with Annex VI, Chapter I, and:",(1) التخلص منها كنفايات من خلال حرقها أو حرقها بصورة مشتركة في منشأة حرق أو حرق مشترك معتمدة وفقًا للمادة 12، أو
3764,(iii) disposed of as waste by burial in a landfill approved under Directive 1999/31/EC;,(1) في حالة استخدام المواد البروتينية الناتجة كسماد عضوي أو محسّن للتربة امتثالاً للمتطلبات المحددة إن وُجدت وفقًا للإجراء المشار إليه في المادة 33 (2)، بعد التشاور مع اللجنة العلمية المعنية،
3765,"(i) used without processing as raw material in a biogas plant or in a composting plant approved in accordance with Article 15 or treated in a technical plant approved for this purpose in accordance with Article 18,",(د) في حالة المواد ذات الأصل السمكي، يتم تخزينها في صومعة أو تحويلها إلى سماد امتثالاً للقواعد المعتمدة وفقًا للإجراء المشار إليه في المادة 33 (2)؛
3766,"(f) in the case of entire bodies or parts of wild animals not suspected of being infected with diseases communicable to humans or animals, used to produce game trophies in a technical plant approved for this purpose in accordance with Article 18; or",(2) استخدامها في الأرض وفقًا لهذه اللائحة، أو
3767,4. Category 2 material shall not be placed on the market or exported except in accordance with this Regulation or with rules laid down under the procedure referred to in Article 33(2).,(ز) التخلص منها بوسائل أخرى أو استخدامها بطرق أخرى، وفقًا للقواعد المنصوص عليها بموجب الإجراء المشار إليه في المادة 33 (2)، بعد التشاور مع اللجنة العلمية المعنية. وقد تُكمل هذه الوسائل أو الطرق تلك الطرق المنصوص عليها في الفقرات الفرعية من (أ) إلى (و)، أو تحل محلها.
3768,"1. Category 3 material shall comprise animal by-products of the following description, or any material containing such by-products:",المادة 6
3769,"(c) hides and skins, hooves and horns, pig bristles and feathers originating from animals that are slaughtered in a slaughterhouse, after undergoing ante-mortem inspection, and were fit, as a result of such inspection, for slaughter for human consumption in accordance with Community legislation;",(أ) أجزاء من الحيوانات المذبوحة والصالحة للاستهلاك البشري وفقًا لتشريع المجموعة، ولكنها غير مخصصة للاستهلاك الآدمي لأسباب تجارية؛
3770,"(f) former foodstuffs of animal origin, or former foodstuffs containing products of animal origin, other than catering waste, which are no longer intended for human consumption for commercial reasons or due to problems of manufacturing or packaging defects or other defects which do not present any risk to humans or animals;",(د) الدم الذي يتم الحصول عليه من حيوانات بخلاف الحيوانات المجترة التي يتم ذبحها في أحد المسالخ، وذلك بعد خضوعها لفحص قبل الموت، وأثبت هذا الفحص أنها كانت صالحة للذبح من أجل الاستهلاك الآدمي وفقًا لتشريع المجموعة؛
3771,(i) fresh by-products from fish from plants manufacturing fish products for human consumption;,(ز) الحليب الخام الوارد من الحيوانات التي لم يظهر عليها علامات مرضية لأي مرض يمكن أن ينتقل من خلال هذا المنتج إلى الإنسان أو الحيوانات؛
3772,(l) catering waste other than as referred to in Article 4(1)(e).,(ي) الأصداف ومخلفات التفريخ والمنتجات الثانوية من البيض المكسور الوارد من الحيوانات التي لم يظهر عليها علامات مرضية لأي مرض يمكن أن ينتقل من خلال هذا المنتج إلى الإنسان أو الحيوانات؛
3773,"(b) processed in a processing plant approved in accordance with Article 13 using any of processing methods 1 to 5, in which case the resulting material shall be permanently marked, where technically possible with smell, in accordance with Annex VI, Chapter I, and disposed of as waste either by incineration or by co-incineration in an incineration or co-incineration plant approved in accordance with Article 12 or in a landfill approved under Directive 1999/31/EC;",2. يتم تجميع المواد التي تندرج ضمن الفئة 3 ونقلها والتعرف عليها دون تأجيل غير مقبول وفقًا للمادة 7 ما لم يُنص بخلاف ذلك في المادتين 23 و24،كما يتم:
3774,(e) used as raw material in a petfood plant approved in accordance with Article 18;,(ج) معالجتها في أحد مصانع المعالجة المعتمدة وفقًا للمادة 17؛
3775,"(h) in the case of material of fish origin, ensiled or composted in accordance with rules laid down under the procedure referred to in Article 33(2); or",(و) تحويلها في مصنع الغاز الإحيائي أو التسميد المعتمد وفقًا للمادة 15؛
3776,Article 7,(ط) التخلص منها بوسائل أخرى أو استخدامها بطرق أخرى، وفقًا للقواعد المنصوص عليها بموجب الإجراء المشار إليه في المادة 33 (2)، بعد التشاور مع اللجنة العلمية المعنية. وقد تُكمل هذه الوسائل أو الطرق تلك الطرق المنصوص عليها في الفقرات الفرعية من (أ) إلى (ح)، أو تحل محلها.
3777,"2. During transportation, a commercial document or, when required by this Regulation, a health certificate, shall accompany animal by-products and processed products. Commercial documents and health certificates shall satisfy the requirements, and be kept for the period, specified in Annex II. They shall, in particular, include information concerning the quantity and a description of the material and its marking.",التجميع والنقل والتخزين
3778,5. The storage of processed products shall take place only in storage plants approved in accordance with Article 11.,3. تضمن الدول الأعضاء وجود الترتيبات الكافية لضمان تجميع المواد التي تندرج ضمن الفئة 1 والفئة 2، ونقلها وفقًا للملحق 2.
3779,Dispatch of animal by-products and processed products to other Member States,6. ومع ذلك، فقد تقرر الدول الأعضاء عدم تطبيق أحكام هذه المادة على السماد المنقول بين نقطتين موجودتين في المزرعة نفسها أو بين مزارع ومستخدمين موجودين في الدولة العضو نفسها.
3780,"3. Animal by-products, and processed products referred to in paragraph 2, shall be:",1. يتم إرسال المنتجات المشتقة من الحيوانات والمنتجات المجهزة إلى الدول الأعضاء الأخرى فقط من خلال الخضوع إلى الشروط المنصوص عليها في الفقرات من 2 إلى 6.
3781,"4. When Member States send Category 1 material, Category 2 material, processed products derived from Category 1 or Category 2 material and processed animal protein to other Member States, the competent authority of the place of origin shall inform the competent authority of the place of destination of each consignment by means of the ANIMO system, or by another method by mutual agreement. The message shall contain the information specified in Annex II, Chapter I, paragraph 2.",(أ) مصحوبة بمستند تجاري أو بشهادة صحية عند المطالبة بذلك بموجب هذه اللائحة، و
3782,Article 9,5. عند الإبلاغ بشحنها وفقًا للفقرة 4، تُبلّغ السلطة المختصة في الوجهة السلطة المختصة في مكان المنشأ بوصول كل شحنة عن طريق نظام نقل الحيوان أو بطريقة أخرى بالتراضي.
3783,Article 10,السجلات
3784,"2. To be approved, Category 1 or Category 2 intermediate plants must:",الموافقة على المنشآت الوسيطة
3785,(c) undergo the plant's own checks provided for in Article 25; and,(أ) تلبية متطلبات الفصل الأول من الملحق 3؛
3786,"(a) meet the requirements of Annex III, Chapter I;",(د) فحصها من قِبل السلطة المختصة وفقًا للمادة 26.
3787,(d) be checked by the competent authority in accordance with Article 26.,"(ب) معالجة المواد التي تندرج ضمن الفئة 3 وتخزينها وفقًا للجزء ""أ"" من الفصل الثاني من الملحق 3؛"
3788,1. Storage plants shall be subject to approval by the competent authority.,المادة 11
3789,(b) be checked by the competent authority in accordance with Article 26.,2. لاعتماد منشآت التخزين، يتعين:
3790,"1. The incineration and co-incineration of processed products shall take place in accordance with the provisions of Directive 2000/76/EC. The incineration and co-incineration of animal by-products shall take place either in accordance with the provisions of Directive 2000/76/EC or, when that Directive does not apply, in accordance with the provisions of this Regulation. Incineration and co-incineration plants shall be approved under that Directive or in accordance with paragraph 2 or 3.",المادة 12
3791,"(b) the operating conditions laid down in Annex IV, Chapter II;",2. يتعين على منشأة الحرق أو الحرق المشترك عالية السعة والتي لا يسري عليها التوجيه ‎2000/76/EC الوفاء بما يلي وذلك لاعتمادها من قِبل السلطة المختصة بغرض التخلص من المنتجات المشتقة من الحيوانات:
3792,"(e) the temperature measurement requirements laid down in Annex IV, Chapter V; and",(ج) المتطلبات المنصوص عليها في الفصل 3 من الملحق 4 والمتعلقة بعمليات تصريف المياه؛
3793,(a) be used only for the disposal of dead pet animals and/or Category 2 and Category 3 material;,(و) الشروط المتعلقة بالتشغيل غير العادي والمنصوص عليها في الفصل 6 من الملحق 4.
3794,"(d) fulfil the applicable operating conditions laid down in Annex IV, Chapter II;",(ب) عند وضعها في مزرعة، يتم استخدامها فقط للتخلص من المواد الواردة من هذه المزرعة المعيّنة؛
3795,"(g) fulfil the conditions concerning abnormal operating laid down in Annex IV, Chapter VI.",(هـ) الوفاء بالمتطلبات المنصوص عليها في الفصل 4 من الملحق 4 والمتعلقة بالمتبقيات؛
3796,Article 13,4. يتم تعليق الموافقة فورًا في حال عدم استيفاء الشروط التي مُنحت وفقًا لها.
3797,"2. To be approved, Category 1 and Category 2 processing plants must:",الموافقة على مصانع المعالجة التابعة للفئتين 1 و2
3798,"(c) be validated by the competent authority in accordance with Annex V, Chapter V;",(أ) تلبية متطلبات الفصل 1 من الملحق 5؛
3799,"(f) ensure that, after processing, the products satisfy the requirements of Annex VI, Chapter I.",(د) الخضوع لفحوصات المصنع الخاصة المنصوص عليها في المادة 25؛
3800,Approval of Category 2 and Category 3 oleochemical plants,3. يتم تعليق الموافقة فورًا في حال عدم استيفاء الشروط التي مُنحت وفقًا لها.
3801,(b) establish and implement methods of monitoring and checking the critical control points on the basis of the process used;,1. تتطلب منشآت معالجة المواد الكيميائية المشتقة من الدهون الحيوانية والنباتية موافقة السلطة المختصة.
3802,"3. To be approved, Category 3 oleochemical plants must process rendered fats derived only from Category 3 material and meet the relevant requirements referred to in paragraph 2.",(ج) الاحتفاظ بسجل للمعلومات التي يتم الحصول عليها بموجب النقطة (ب) للعرض على السلطة المختصة؛ و
3803,Approval of biogas plants and composting plants,4. يتم تعليق الموافقة فورًا في حال عدم استيفاء الشروط التي مُنحت وفقًا لها.
3804,"(a) meet the requirements of Annex VI, Chapter II, Part A;",1. تخضع مصانع الغاز الحيوي وصناعة السماد العضوي إلى موافقة السلطة المختصة.
3805,(d) establish and implement methods of monitoring and checking the critical control points; and,"(ب) معالجة المنتجات المشتقة من الحيوانات وتحويلها وفقًا للجزأين ""ب"" و""ج"" من الفصل 2 للملحق 6؛"
3806,Article 16,"(هـ) ضمان امتثال السماد العضوي ومخلفات الهضم للمعايير الميكروبيولوجية المنصوص عليها في الجزء ""د"" من الفصل 2 ضمن الملحق 6 عند اقتضاء الأمر."
3807,2. The measures referred to in paragraph 1 shall guarantee that the products are obtained from animals that:,أحكام عامة حول صحة الحيوان
3808,"3. Subject to compliance with the disease control measures referred to in paragraph 2(a), the placing on the market of animal by-products, and products derived therefrom referred to in Annexes VII and VIII, that come from a territory or part of a territory subject to animal health restrictions but are not infected or suspected of being infected shall be permitted provided that, as appropriate, the products:",(أ) تأتي من مزرعة أو أرض أو قطعة من الأرض، أو في حالة منتجات الاستزراع المائي، من مزرعة أو منطقة أو جزء من منطقة، لا تخضع لقيود صحة الحيوان المطبقة على الحيوانات والمنتجات المعنية، وتخضع لقيود خاصة بموجب تدابير مكافحة الأمراض المفروضة بواسطة تشريع المجموعة أو استنادًا إلى مرضٍ معدٍ خطير مدرج في توجيه المجلس رقم ‎92/119/EEC الصادر بتاريخ 17 ديسمبر 1992 والذي يطرح تدابير المجموعة العامة لمكافحة بعض الأمراض الحيوانية إلى جانب تدابير معيّنة تتعلق بالمرض الحويصلي الخنزيري (22)؛
3809,(c) are properly identified;,(أ) يتم الحصول عليها والتعامل معها ونقلها وتخزينها بصورة منفصلة أو في أوقات مختلفة عن المنتجات التي تفي بجميع شروط صحة الحيوان؛
3810,Article 17,(د) تمتثل للمتطلبات المنصوص عليها في الملحقين 7 و8، أو للقواعد التفصيلية التي يتم النص عليها وفقًا للإجراء المشار إليه في المادة 33 (2).
3811,"2. To be approved, Category 3 processing plants must:",الموافقة على مصانع المعالجة التابعة للفئة 3
3812,"(c) be validated by the competent authority in accordance with Annex V, Chapter V;",(أ) تلبية متطلبات الفصل 1 من الملحق 5، والفصل 1 من الملحق 7؛
3813,"(f) ensure that, after processing, the products satisfy the requirements of Annex VII, Chapter I.",(د) الخضوع لفحوصات المصنع الخاصة المنصوص عليها في المادة 25؛
3814,Approval of petfood plants and technical plants,3. يتم تعليق الموافقة فورًا في حال عدم استيفاء الشروط التي مُنحت وفقًا لها.
3815,"(a) undertake, in the light of the specific requirements laid down in Annex VIII for the products the plant produces:",1. تتطلب مصانع أغذية الحيوانات الأليفة والمصانع التقنية موافقة السلطة المختصة.
3816,"(iii) depending on the products, to take samples for analyses in a laboratory recognised by the competent authority for the purposes of checking compliance with the standards established by this Regulation;",(1) للامتثال إلى متطلبات الإنتاج المحددة الواردة في هذه اللائحة؛
3817,(b) to be checked by the competent authority in accordance with Article 26.,(4) للاحتفاظ بسجل للمعلومات التي يتم الحصول عليها بموجب النقطتين (2) و(3) للعرض على السلطة المختصة. ويتم الاحتفاظ بنتائج الفحوصات والاختبارات لعامين على الأقل؛
3818,Placing on the market and export of processed animal protein and other processed products that could be used as feed material,3. يتم تعليق الموافقة فورًا في حال عدم استيفاء الشروط التي مُنحت وفقًا لها.
3819,"(b) have been prepared exclusively with Category 3 material, as specified in Annex VII;",تضمن الدول الأعضاء طرح البروتين الحيواني المعالج والمنتجات المعالجة الأخرى التي يمكن استخدامها كمواد تغذية في السوق أو تصديرها فقط في حالة:
3820,Article 20,(ج) التعامل معها ومعالجتها وتخزينها ونقلها وفقًا للملحق 7 وبطريقة تضمن الامتثال للمادة 22؛ و
3821,(a) meet either:,طرح أغذية الحيوانات الأليفة ومضائغ الكلاب والمنتجات التقنية في السوق وتصديرها
3822,"(b) come from plants approved and supervised in accordance with Article 18 or, in the case of animal by-products referred to in Annex VIII, from other plants approved in accordance with Community veterinary legislation.",(1) المتطلبات المحددة المنصوص عليها في الملحق 8 أو
3823,(a) have been prepared in a Category 2 oleochemical plant approved in accordance with Article 14 from rendered fats resulting from the processing of Category 2 material in a Category 2 processing plant approved in accordance with Article 13 following the application of any of processing methods 1 to 5;,2. تضمن الدول الأعضاء طرح الأسمدة العضوية ومحسّنات التربة من المنتجات المعالجة بخلاف تلك التي يتم إنتاجها من السماد ومحتوى القناة الهضمية في السوق أو تصديرها فقط في حالة تلبيتها للمتطلبات المحددة، إن وُجدت، وفقًا للإجراء المشار إليه في المادة 33 (2)، بعد التشاور مع اللجنة العلمية المعنية.
3824,Article 21,(ب) التعامل معها ومعالجتها وتخزينها ونقلها وفقًا للملحق 6؛ و
3825,Article 22,التدابير الوقائية
3826,(a) the feeding of a species with processed animal protein derived from the bodies or parts of bodies of animals of the same species;,قيود الاستخدام
3827,"2. Rules for the implementation of this Article, including rules concerning control measures, shall be adopted in accordance with the procedure referred to in Article 33(2). Derogations from paragraph 1(a) may be granted in relation to fish and fur animals by the same procedure, after consultation of the appropriate scientific committee.",(ب) إطعام حيوانات المزارع بخلاف حيوانات الفراء بفتات الطعام أو مواد التغذية التي تحتوي على فتات الطعام أو مُشتقة منها؛ و
3828,"1. Member States may authorise, under the supervision of the competent authorities:",المادة 23
3829,"2. (a) Member States may also authorise the use of the animal by-products specified in subparagraph (b) for the feeding of the animals specified in subparagraph (c), under the supervision of the competent authorities and in accordance with the rules laid down in Annex IX.",(أ) استخدام المنتجات المشتقة من الحيوانات لأغراض تشخيصية وتعليمية وبحثية؛ و
3830,"(ii) Category 3 material referred to in Article 6(1)(a) to (j) and, subject to Article 22, in Article 6(1)(l);",(ب) تكون المنتجات المشتقة من الحيوانات المشار إليها في الفقرة الفرعية (أ) عبارة عن:
3831,"(ii) circus animals,",(ب) تكون الحيوانات المشار إليها في الفقرة الفرعية (أ) عبارة عن:
3832,"(v) wild animals the meat of which is not destined for human consumption,",(3) الزواحف والطيور الجارحة بخلاف حيوانات حدائق الحيوان وحيوانات السيرك،
3833,"(d) In addition, Member States may authorise the use, under the supervision of the competent authorities, of Category 1 material referred to in Article 4(1)(b)(ii) for the feeding of endangered or protected species of necrophagous birds in accordance with rules laid down under the procedure referred to in Article 33(2) after consultation of the European Food Safety Authority.",(6) الكلاب من بيوت الكلاب المعترف بها أو جماعات كلاب الصيد، و
3834,(b) the verification arrangements introduced to ensure that the animal by-products concerned are used only for authorised purposes.,3. تُبلّغ الدول الأعضاء المفوضية بما يلي:
3835,"If such inspections reveal that those requirements are not being complied with, the competent authority shall take appropriate action.",4. تعد كل دولة عضو قائمة تضم المستخدمين ومراكز التجميع المرخصة والمسجّلة بموجب الفقرة 2 (ج) (4) و(6) و(7) داخل أراضيها. يتم تعيين رقم رسمي لكل مستخدم ومركز تجميع لأغراض متعلقة بالتفتيش، ومن أجل تعقب أصل المنتجات المعنية.
3836,Derogations regarding the disposal of animal by-products,5. قد يتم اعتماد القواعد التفصيلية المتعلقة بتدابير التحقق وفقًا للإجراء المشار إليه في المادة 33 (2).
3837,(b) the following animal by-products originating in remote areas may be disposed of as waste by burning or burial on site:,1. قد تقرر السلطة المختصة عند الضرورة ما يلي:
3838,(iii) Category 3 material; and,(1) مواد الفئة 1 المشار إليها في المادة 4 (1) (ب) (2)،
3839,"3. In the case of Category 1 material referred to in Article 4(1)(b)(ii), burning or burial may take place in accordance with paragraph 1(b) or (c) only if the competent authority authorises and supervises the method used and is satisfied that it precludes all risk of transmission of TSEs.","(ج) يجوز التخلص من المنتجات المشتقة من الحيوانات كنفايات من خلال حرقها أو دفنها في الموقع في حالة تفشي مرض مذكور في القائمة ""أ"" من المكتب الدولي للأوبئة الحيوانية (OIE)، وذلك في حالة رفض السلطة المختصة للنقل إلى أقرب منشأة حرق أو معالجة بسبب خطر انتشار المخاطر الصحية أو التفشي واسع الانتشار لوباء حيواني يؤدي إلى نقص في قدرات هذه المنشآت."
3840,(b) the areas that they categorise as remote areas for the purpose of applying paragraph 1(b) and the reasons for that categorisation.,4. تُبلّغ الدول الأعضاء المفوضية بما يلي:
3841,"(b) to prevent the abandonment, dumping or uncontrolled disposal of animal by-products.",5. تتخذ السلطة المختصة التدابير اللازمة:
3842,Plants' own-checks,6. قد يتم تحديد الترتيبات التفصيلية لتنفيذ هذه المادة بموجب الإجراء المشار إليه في المادة 33 (2).
3843,(b) establish and implement methods for monitoring and checking such critical control points;,1. يتخذ المشغّلون وملاّك منشآت المعالجة والمنشآت الوسيطة أو ممثلوهم جميع التدابير اللازمة للامتثال لمتطلبات هذه اللائحة. وعليهم وضع إجراء دائم وتنفيذه والمحافظة عليه بحيث يتم تطويره وفقًا لمبادئ نظام نقاط المراقبة الحرجة لتحليل المخاطر (HACCP). ويجب عليهم على وجه الخصوص:
3844,(ii) with the maximum permitted levels of physicochemical residues laid down in Community legislation;,(ج) في حالة منشآت المعالجة، أخذ عينات ممثلة للتحقق من الامتثال:
3845,"2. Where the results of a test on samples taken pursuant to paragraph 1(c) do not comply with the provisions of this Regulation, the operator of the processing plant must:",(د) تسجيل نتائج الفحوصات والاختبارات المشار إليها في النقطتين (ب) و(ج) والاحتفاظ بها لفترة تمتد لعامين على الأقل للعرض على السلطات المختصة؛
3846,(c) reprocess or dispose of the contaminated batch under the supervision of the competent authority;,(أ) إبلاغ السلطة المختصة على الفور بالتفاصيل الكاملة حول طبيعة العينة والمجموعة التحليلية التي تم اشتقاقها منها؛
3847,(f) investigate animal by-products records appropriate to the finished sample; and,(د) التأكد من عدم نقل أي مواد مشتبه بها أو معروفة بأنها ملوثة من المنشأة قبل إعادة معالجتها تحت إشراف السلطة المختصة، إلى جانب إعادة أخذ العينة رسميًا للامتثال للمعايير المحددة في هذه اللائحة، ما لم تكن في طريقها للتخلص منها؛
3848,Article 26,(ز) الحث على اتخاذ إجراءات التنظيف وإزالة التلوث المناسبة داخل المنشأة.
3849,"2. The frequency of inspections and supervision shall depend on the size of the plant, the type of products manufactured, risk assessment and guarantees offered in accordance with the principles of the system of hazard analysis and critical control points (HACCP).",ضوابط الرقابة الرسمية وقوائم المنشآت المعتمدة
3850,"5. Detailed arrangements for implementing this Article, including rules concerning the frequency of checks and reference methods for microbiological analyses, may be laid down under the procedure referred to in Article 33(2).",3. إذا أظهر التفتيش الذي قامت بتنفيذه السلطة المختصة عدم الوفاء بمتطلب واحد أو أكثر من متطلبات هذه اللائحة، فإنه يتعين على السلطة المختصة اتخاذ الإجراء المناسب.
3851,"1. Experts from the Commission may make on-the-spot checks, in cooperation with the competent authorities of Member States, in so far as is necessary for the uniform application of this Regulation. The Member State on whose territory checks are made shall provide the experts with all the assistance necessary for carrying out their duties. The Commission shall inform the competent authority of the results of the checks made.",المادة 27
3852,The provisions applicable to the importation of products referred to in Annexes VII and VIII from non-member countries shall be no more favourable or less favourable that those applicable to the production and marketing of those products in the Community.,المادة 28
3853,Prohibitions and compliance with Community rules,ومع ذلك، يتم السماح بالاستيراد من الدول الأخرى المصنّعة لأغذية الحيوانات الأليفة والمواد الخام لإنتاج أغذية الحيوانات الأليفة، المشتقة من الحيوانات التي تمت معالجتها بمواد معيّنة محظورة وفقًا للتوجيه رقم ‎96/22/EC، شريطة أن يتم تمييز هذه المواد الخام دائمًا وتحت شروط خاصة منصوص عليها بموجب الإجراء المشار إليه في المادة 33 (2).
3854,"3. Products referred to in Annexes VII and VIII shall, save as otherwise specified in those Annexes, come from a third country or parts of third countries on a list to be drawn up and updated in accordance with the procedure referred to in Article 33(2).",1. يُحظر استيراد وعبور المنتجات المشتقة من الحيوانات والمنتجات المعالجة، باستثناء ما يتوافق مع هذه اللائحة.
3855,(a) the legislation of the third country;,يجوز دمج القائمة مع قوائم أخرى موضوعة لأغراض تتعلق بالصحة العامة وصحة الحيوانات.
3856,(d) the assurances the third country can give regarding compliance with the relevant health conditions;,(ب) تنظيم السلطة المختصة وخدمات التفتيش الخاصة بها في الدول الأخرى، وصلاحيات هذه الخدمات والإشراف الذي تخضع إليه وسلطتها لمراقبة تطبيق التشريع بفاعلية؛
3857,"(g) the health status of the livestock, other domestic animals and wildlife in the third country, having particular regard to exotic animal diseases and any aspects of the general health situation in the country which might pose a risk to public or animal health in the Community;",(هـ) تجربة تسويق المنتج من الدولة الأخرى ونتائج عمليات الفحوصات التي أُجريت على الاستيراد؛
3858,"4. Products referred to in Annexes VII and VIII, except for technical products, must come from plants on a Community list drawn up under the procedure referred to in Article 33(2) on the basis of a communication from the competent authorities of the third country to the Commission declaring that the plant complies with the Community requirements and is subject to supervision by an official inspection service in the third country.","(ح) درجة الانتظام والسرعة التي توفر بها الدولة الأخرى المعلومات المتعلقة بوجود أمراض الحيوانات المعدية في منطقتها، وخاصة الأمراض المذكورة في القائمتين ""أ"" و""ب"" من المكتب الدولي للأوبئة الحيوانية (OIE) أو في حالة أمراض حيوانات الاستزراع المائي، الأمراض التي يجب الإبلاغ عنها على النحو المنصوص عليه في الرمز الصحي للحيوانات المائية للمكتب الدولي للأوبئة الحيوانية (OIE)؛"
3859,"(b) the Member States shall have seven working days, from receipt of the modifications to the lists of plants referred to in (a), to send any written comments to the Commission;",يتم تعديل القوائم المعتمدة كما يلي:
3860,5. Technical products referred to in Annex VIII must come from plants that the competent authorities of the third countries have approved and registered.,(ج) عندما تدوّن دولة واحدة على الأقل من الدول الأعضاء تعليقات مكتوبة، فإنه يتعين على المفوضية إبلاغ الدول الأعضاء بذلك خلال خمسة أيام عمل وتضمين النقطة في جدول أعمال الاجتماع القادم للّجنة الدائمة المعنية بالسلسلة الغذائية والصحة الحيوانية لاتخاذ قرار بموجب الإجراء المشار إليه في المادة 33 (2)؛
3861,Article 30,6. يلزم أن ترافق الشهادة الصحية المتوافقة مع النموذج المنصوص عليه في الملحق 10 شحنات المنتجات المشار إليها في هذه الملحقات حيث تصادق على أن المنتجات تستوفي الشروط المشار إليها في هذه الملحقات وتأتي من منشآت تتوافر بها هذه الشروط ما لم يتم ذكر عكس ذلك صراحة في الملحقين 7 و8.
3862,"The decision shall set out the conditions governing the importation and/or transit of animal by-products from that region, country or group of countries.",التكافؤ
3863,"(b) specific health requirements applicable to importation into, and/or transit through, the Community; and",2. تشتمل الشروط المشار إليها في الفقرة 1 على:
3864,Article 31,(ج) إجراءات إعداد وتعديل قوائم المناطق أو المنشآت التي يُسمح بعمليات الاستيراد و/أو العبور فيها، إذا لزم الأمر.
3865,(a) drawing up the list of third countries or parts thereof and determining conditions for importation and/or transit;,عمليات التفتيش والمراجعة الخاصة بالمجموعة
3866,"(ii) import and/or transit conditions,",(ب) التحقق من الامتثال لما يلي:
3867,The Commission shall appoint experts from the Member States responsible for these checks.,(3) شروط التعرف على تكافؤ التدابير،
3868,"4. If a check referred to in paragraph 1 reveals a serious infringement of the health rules, the Commission shall immediately ask the third country to take appropriate measures or shall suspend consignments of products and immediately inform the Member States.",2. يتم تنفيذ عمليات التفتيش المشار إليها في الفقرة 1 نيابة عن المجموعة بحيث تفي بالتكاليف المتكبدة.
3869,"1. After consultation of the appropriate scientific committee on any question that could have an impact on animal or public health, the Annexes may be amended or supplemented and any appropriate transitional measures may be adopted in accordance with the procedure referred to in Article 33(2).",المادة 32
3870,Regulatory procedure,2. فيما يتعلق بحظر الإطعام بفتات الطعام والمشار إليه في المادة 22، فإنه في حالة وجود أنظمة الرقابة المناسبة في الدول الأعضاء قبل تطبيق هذه اللائحة، يتم اعتماد التدابير الانتقالية وفقًا للفقرة 1 للسماح بالاستخدام المستمر لبعض أنواع فتات الطعام في الإطعام وذلك بموجب ظروف تخضع للرقابة الصارمة لفترة لا تزيد عن أربع سنوات تبدأ من 1 نوفمبر 2002. تضمن هذه التدابير عدم وجود أي خطر غير مبرر على صحة الحيوان أو الصحة العامة خلال الفترة الانتقالية.
3871,The period laid down in Article 5(6) of Decision 1999/468/EC shall be set at 15 days.,"1. تتم مساعدة المفوضية من خلال اللجنة الدائمة المعنية بالسلسلة الغذائية والصحة الحيوانية والتي يشار إليها فيما بعد ""باللجنة""."
3872,Consultation of scientific committees,3. تعتمد اللجنة قواعد الإجراءات الخاصة بها.
3873,National provisions,تتم استشارة اللجان العلمية المناسبة في أي أمر في نطاق هذه اللائحة قد يكون له تأثير على صحة الحيوان أو الصحة العامة.
3874,3. Member States may adopt or maintain national rules restricting the use of organic fertilizers and soil improvers further than envisaged in this Regulation pending the adoption of Community rules for their use in accordance with Article 20(2). Member States may adopt or maintain national rules restricting the use of fat derivatives produced from Category 2 material further than envisaged in this Regulation pending the addition to Annex VIII of Community rules for their use in accordance with Article 32.,1. ترسل الدول الأعضاء إلى المفوضية نص الأحكام الخاصة بأي قانون وطني تعتمده في المجال الذي تغطيه هذه اللائحة.
3875,"The Commission shall prepare a report on the financial arrangements in Member States for the processing, collection, storage and disposal of animal by-products accompanied by appropriate proposals.",المادة 36
3876,Directive 90/667/EEC and Decisions 95/348/EC and 1999/534/EC shall be repealed with effect from six months after the entry into force of this Regulation.,المادة 37
3877,Entry into force,يتم تفسير المراجع إلى التوجيه ‎90/667/EEC من ذلك التاريخ على أنها مراجع لهذه اللائحة.
3878,of 10 October 2002,تدخل هذه اللائحة حيز التنفيذ في اليوم العشرين بعد نشرها في الجريدة الرسمية للمجموعات الأوروبية.
3879,"THE COMMISSION OF THE EUROPEAN COMMUNITIES,",تصحح اللائحة (المفوضية الأوروبية) رقم ‎1282/2002 حيث تعدّل ملحقات توجيه المجلس رقم ‎92/65/EEC الذي يحدد متطلبات صحة الحيوانات التي تحكم عمليات التجارة والاستيراد في المجموعة للحيوانات وسوائلها المنوية وبويضاتها وأجنتها التي لا تخضع لمتطلبات صحة الحيوانات المحددة في قواعد المجموعة المحددة المشار إليها في الملحق أ (1) من التوجيه رقم ‎90/425/EEC
3880,Whereas:,مع مراعاة المعاهدة المؤسسة للمجموعة الأوروبية،
3881,"(3) However, during the adoption process the provision laying down that date was omitted.",(1) تم اعتماد اللائحة (المفوضية الأوروبية) رقم ‎1282/2002 بتاريخ 15 يوليو 2002 لتعديل التوجيه رقم ‎92/65/EEC.
